row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,order_year,order_month,order_quarter,order_week,order_dow,shipping_days,profit_margin_pct,discounted_revenue,cogs,customer_ltv,customer_order_rank,is_repeat_customer,sales_growth_pct,revenue_per_unit,is_high_value_order,is_loss_order
9539,US-2017-169488,2017-09-07,2017-09-09,First Class,AA-10375,Allen Armold,Consumer,United States,Providence,Rhode Island,2908,East,OFF-PA-10002659,Office Supplies,Paper,Avoid Verbal Orders Carbonless Minifold Book,16.9,5,0.0,7.774,2017,9,3,36,Thursday,2,46.0,16.9,9.13,1056.39,11,1,39.2,3.38,0,0
9540,US-2017-169488,2017-09-07,2017-09-09,First Class,AA-10375,Allen Armold,Consumer,United States,Providence,Rhode Island,2908,East,OFF-PA-10000157,Office Supplies,Paper,Xerox 191,39.96,2,0.0,18.7812,2017,9,3,36,Thursday,2,47.0,39.96,21.18,1056.39,12,1,39.2,19.98,0,0
6748,CA-2017-100230,2017-12-11,2017-12-15,Standard Class,AA-10375,Allen Armold,Consumer,United States,New York City,New York,10035,East,OFF-BI-10002498,Office Supplies,Binders,Clear Mylar Reinforcing Strips,14.952,1,0.2,5.0463,2017,12,4,50,Monday,4,33.75,11.96,9.91,1056.39,13,1,-29.23,14.95,0,0
6749,CA-2017-100230,2017-12-11,2017-12-15,Standard Class,AA-10375,Allen Armold,Consumer,United States,New York City,New York,10035,East,OFF-PA-10002245,Office Supplies,Paper,Xerox 1895,17.94,3,0.0,8.073,2017,12,4,50,Monday,4,45.0,17.94,9.87,1056.39,14,1,-29.23,5.98,0,0
6750,CA-2017-100230,2017-12-11,2017-12-15,Standard Class,AA-10375,Allen Armold,Consumer,United States,New York City,New York,10035,East,TEC-PH-10004522,Technology,Phones,Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,116.98,2,0.0,29.245,2017,12,4,50,Monday,4,25.0,116.98,87.74,1056.39,15,1,-29.23,58.49,0,0
1460,CA-2014-155271,2014-05-04,2014-05-04,Same Day,AA-10480,Andrew Allen,Consumer,United States,Middletown,Connecticut,6457,East,FUR-FU-10001473,Furniture,Furnishings,DAX Wood Document Frame,27.46,2,0.0,9.8856,2014,5,2,18,Sunday,0,36.0,27.46,17.57,1790.51,1,0,-16.42,13.73,0,0
3108,CA-2016-121671,2016-07-17,2016-07-22,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Springfield,Missouri,65807,Central,OFF-PA-10001471,Office Supplies,Paper,Strathmore Photo Frame Cards,21.93,3,0.0,10.0878,2016,7,3,28,Sunday,5,46.0,21.93,11.84,1790.51,2,1,-2.68,7.31,0,0
3109,CA-2016-121671,2016-07-17,2016-07-22,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Springfield,Missouri,65807,Central,OFF-ST-10002344,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",242.94,3,0.0,4.8588,2016,7,3,28,Sunday,5,2.0,242.94,238.08,1790.51,3,1,-2.68,80.98,1,0
3110,CA-2016-121671,2016-07-17,2016-07-22,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Springfield,Missouri,65807,Central,OFF-PA-10001892,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",7.64,1,0.0,3.7436,2016,7,3,28,Sunday,5,49.0,7.64,3.9,1790.51,4,1,-2.68,7.64,0,0
3111,CA-2016-121671,2016-07-17,2016-07-22,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Springfield,Missouri,65807,Central,OFF-PA-10001934,Office Supplies,Paper,Xerox 1993,51.84,8,0.0,25.4016,2016,7,3,28,Sunday,5,49.0,51.84,26.44,1790.51,5,1,-2.68,6.48,0,0
3112,CA-2016-121671,2016-07-17,2016-07-22,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Springfield,Missouri,65807,Central,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,265.17,1,0.0,47.7306,2016,7,3,28,Sunday,5,18.0,265.17,217.44,1790.51,6,1,-2.68,265.17,1,0
7703,CA-2016-114601,2016-08-26,2016-09-02,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Detroit,Michigan,48234,Central,OFF-PA-10000605,Office Supplies,Paper,Xerox 1950,11.56,2,0.0,5.6644,2016,8,3,34,Friday,7,49.0,11.56,5.9,1790.51,7,1,-20.75,5.78,0,0
7704,CA-2016-114601,2016-08-26,2016-09-02,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Detroit,Michigan,48234,Central,TEC-PH-10002170,Technology,Phones,ClearSounds CSC500 Amplified Spirit Phone Corded phone,209.97,3,0.0,58.7916,2016,8,3,34,Friday,7,28.0,209.97,151.18,1790.51,8,1,-20.75,69.99,1,0
7705,CA-2016-114601,2016-08-26,2016-09-02,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Detroit,Michigan,48234,Central,FUR-TA-10004147,Furniture,Tables,Hon 4060 Series Tables,447.84,4,0.0,98.5248,2016,8,3,34,Friday,7,22.0,447.84,349.32,1790.51,9,1,-20.75,111.96,1,0
7706,CA-2016-114601,2016-08-26,2016-09-02,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Detroit,Michigan,48234,Central,TEC-AC-10003911,Technology,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,479.97,3,0.0,163.1898,2016,8,3,34,Friday,7,34.0,479.97,316.78,1790.51,10,1,-20.75,159.99,1,0
7707,CA-2016-114601,2016-08-26,2016-09-02,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Detroit,Michigan,48234,Central,OFF-AR-10002578,Office Supplies,Art,Newell 335,8.64,3,0.0,2.5056,2016,8,3,34,Friday,7,29.0,8.64,6.13,1790.51,11,1,-20.75,2.88,0,0
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,2017,4,2,15,Saturday,5,35.0,12.44,10.11,1790.51,12,1,-37.96,5.18,0,0
4021,CA-2014-154963,2014-06-22,2014-06-27,Standard Class,AA-10645,Anna Andreadi,Consumer,United States,Chester,Pennsylvania,19013,East,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",170.058,3,0.3,-4.8588,2014,6,2,25,Sunday,5,-2.86,119.04,174.92,5086.93,1,0,46.29,56.69,0,1
4022,CA-2014-154963,2014-06-22,2014-06-27,Standard Class,AA-10645,Anna Andreadi,Consumer,United States,Chester,Pennsylvania,19013,East,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,82.782,3,0.4,-15.1767,2014,6,2,25,Sunday,5,-18.33,49.67,97.96,5086.93,2,1,46.29,27.59,0,1
4023,CA-2014-154963,2014-06-22,2014-06-27,Standard Class,AA-10645,Anna Andreadi,Consumer,United States,Chester,Pennsylvania,19013,East,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",853.93,5,0.3,0.0,2014,6,2,25,Sunday,5,0.0,597.75,853.93,5086.93,3,1,46.29,170.79,1,0
8004,CA-2014-143210,2014-12-01,2014-12-03,First Class,AA-10645,Anna Andreadi,Consumer,United States,Lowell,Massachusetts,1852,East,TEC-PH-10004434,Technology,Phones,Cisco IP Phone 7961G VoIP phone - Dark gray,271.9,2,0.0,78.851,2014,12,4,49,Monday,2,29.0,271.9,193.05,5086.93,4,1,-11.55,135.95,1,0
8005,CA-2014-143210,2014-12-01,2014-12-03,First Class,AA-10645,Anna Andreadi,Consumer,United States,Lowell,Massachusetts,1852,East,FUR-FU-10003878,Furniture,Furnishings,"Linden 10"" Round Wall Clock, Black",45.84,3,0.0,15.5856,2014,12,4,49,Monday,2,34.0,45.84,30.25,5086.93,5,1,-11.55,15.28,0,0
8006,CA-2014-143210,2014-12-01,2014-12-03,First Class,AA-10645,Anna Andreadi,Consumer,United States,Lowell,Massachusetts,1852,East,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,9.82,2,0.0,3.2406,2014,12,4,49,Monday,2,33.0,9.82,6.58,5086.93,6,1,-11.55,4.91,0,0
8008,CA-2015-110863,2015-11-17,2015-11-24,Standard Class,AA-10645,Anna Andreadi,Consumer,United States,Oklahoma City,Oklahoma,73120,Central,OFF-ST-10002756,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",541.24,4,0.0,5.4124,2015,11,4,47,Tuesday,7,1.0,541.24,535.83,5086.93,7,1,141.91,135.31,1,0
8009,CA-2015-110863,2015-11-17,2015-11-24,Standard Class,AA-10645,Anna Andreadi,Consumer,United States,Oklahoma City,Oklahoma,73120,Central,OFF-PA-10000474,Office Supplies,Paper,Easy-staple paper,106.32,3,0.0,49.9704,2015,11,4,47,Tuesday,7,47.0,106.32,56.35,5086.93,8,1,141.91,35.44,0,0
8010,CA-2015-110863,2015-11-17,2015-11-24,Standard Class,AA-10645,Anna Andreadi,Consumer,United States,Oklahoma City,Oklahoma,73120,Central,FUR-CH-10002073,Furniture,Chairs,Hon Olson Stacker Chairs,1323.9,5,0.0,383.931,2015,11,4,47,Tuesday,7,29.0,1323.9,939.97,5086.93,9,1,141.91,264.78,1,0
4452,CA-2016-147137,2016-07-04,2016-07-06,First Class,AA-10645,Anna Andreadi,Consumer,United States,San Francisco,California,94109,West,FUR-FU-10000221,Furniture,Furnishings,"Master Caster Door Stop, Brown",25.4,5,0.0,8.636,2016,7,3,27,Monday,2,34.0,25.4,16.76,5086.93,10,1,-2.68,5.08,0,0
4453,CA-2016-147137,2016-07-04,2016-07-06,First Class,AA-10645,Anna Andreadi,Consumer,United States,San Francisco,California,94109,West,OFF-EN-10003567,Office Supplies,Envelopes,"Inter-Office Recycled Envelopes, Brown Kraft, Button-String,10"" x 13"" , 100/Box",43.96,2,0.0,20.6612,2016,7,3,27,Monday,2,47.0,43.96,23.3,5086.93,11,1,-2.68,21.98,0,0
4454,CA-2016-147137,2016-07-04,2016-07-06,First Class,AA-10645,Anna Andreadi,Consumer,United States,San Francisco,California,94109,West,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",1279.165,5,0.15,225.735,2016,7,3,27,Monday,2,17.65,1087.29,1053.43,5086.93,12,1,-2.68,255.83,1,0
4455,CA-2016-147137,2016-07-04,2016-07-06,First Class,AA-10645,Anna Andreadi,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10002486,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,27.92,4,0.0,0.5584,2016,7,3,27,Monday,2,2.0,27.92,27.36,5086.93,13,1,-2.68,6.98,0,0
6037,CA-2016-131205,2016-09-04,2016-09-08,Standard Class,AA-10645,Anna Andreadi,Consumer,United States,Georgetown,Kentucky,40324,South,FUR-FU-10003347,Furniture,Furnishings,Coloredge Poster Frame,42.6,3,0.0,16.614,2016,9,3,35,Sunday,4,39.0,42.6,25.99,5086.93,14,1,135.93,14.2,0,0
6038,CA-2016-131205,2016-09-04,2016-09-08,Standard Class,AA-10645,Anna Andreadi,Consumer,United States,Georgetown,Kentucky,40324,South,OFF-BI-10000315,Office Supplies,Binders,Poly Designer Cover & Back,113.94,6,0.0,54.6912,2016,9,3,35,Sunday,4,48.0,113.94,59.25,5086.93,15,1,135.93,18.99,0,0
6039,CA-2016-131205,2016-09-04,2016-09-08,Standard Class,AA-10645,Anna Andreadi,Consumer,United States,Georgetown,Kentucky,40324,South,OFF-ST-10002583,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,129.92,4,0.0,5.1968,2016,9,3,35,Sunday,4,4.0,129.92,124.72,5086.93,16,1,135.93,32.48,0,0
6040,CA-2016-131205,2016-09-04,2016-09-08,Standard Class,AA-10645,Anna Andreadi,Consumer,United States,Georgetown,Kentucky,40324,South,OFF-AR-10003469,Office Supplies,Art,Nontoxic Chalk,5.28,3,0.0,2.5344,2016,9,3,35,Sunday,4,48.0,5.28,2.75,5086.93,17,1,135.93,1.76,0,0
7490,CA-2017-157196,2017-11-05,2017-11-09,Standard Class,AA-10645,Anna Andreadi,Consumer,United States,San Diego,California,92105,West,OFF-PA-10003172,Office Supplies,Paper,Xerox 1996,12.96,2,0.0,6.2208,2017,11,4,44,Sunday,4,48.0,12.96,6.74,5086.93,18,1,52.29,6.48,0,0
8223,CA-2014-152905,2014-02-18,2014-02-24,Standard Class,AB-10015,Aaron Bergman,Consumer,United States,Arlington,Texas,76017,Central,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,12.624,2,0.2,-2.5248,2014,2,1,8,Tuesday,6,-20.0,10.1,15.15,886.16,1,0,-68.25,6.31,0,1
4962,CA-2014-156587,2014-03-07,2014-03-08,First Class,AB-10015,Aaron Bergman,Consumer,United States,Seattle,Washington,98103,West,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",48.712,1,0.2,5.4801,2014,3,1,10,Friday,1,11.25,38.97,43.23,886.16,2,1,1132.13,48.71,0,0
4963,CA-2014-156587,2014-03-07,2014-03-08,First Class,AB-10015,Aaron Bergman,Consumer,United States,Seattle,Washington,98103,West,OFF-AR-10001427,Office Supplies,Art,Newell 330,17.94,3,0.0,4.6644,2014,3,1,10,Friday,1,26.0,17.94,13.28,886.16,3,1,1132.13,5.98,0,0
4964,CA-2014-156587,2014-03-07,2014-03-08,First Class,AB-10015,Aaron Bergman,Consumer,United States,Seattle,Washington,98103,West,OFF-ST-10002344,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",242.94,3,0.0,4.8588,2014,3,1,10,Friday,1,2.0,242.94,238.08,886.16,4,1,1132.13,80.98,1,0
8802,CA-2016-140935,2016-11-10,2016-11-12,First Class,AB-10015,Aaron Bergman,Consumer,United States,Oklahoma City,Oklahoma,73120,Central,TEC-PH-10000562,Technology,Phones,Samsung Convoy 3,221.98,2,0.0,62.1544,2016,11,4,45,Thursday,2,28.0,221.98,159.83,886.16,5,1,33.05,110.99,1,0
8803,CA-2016-140935,2016-11-10,2016-11-12,First Class,AB-10015,Aaron Bergman,Consumer,United States,Oklahoma City,Oklahoma,73120,Central,FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",341.96,2,0.0,54.7136,2016,11,4,45,Thursday,2,16.0,341.96,287.25,886.16,6,1,33.05,170.98,1,0
5051,CA-2015-150511,2015-09-18,2015-09-24,Standard Class,AB-10060,Adam Bellavance,Home Office,United States,Des Moines,Washington,98198,West,OFF-PA-10001776,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",18.54,2,0.0,8.7138,2015,9,3,38,Friday,6,47.0,18.54,9.83,7755.62,1,0,75.06,9.27,0,0
2364,US-2016-108637,2016-03-13,2016-03-18,Standard Class,AB-10060,Adam Bellavance,Home Office,United States,Waynesboro,Virginia,22980,South,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",127.88,2,0.0,40.9216,2016,3,1,10,Sunday,5,32.0,127.88,86.96,7755.62,2,1,125.06,63.94,0,0
2365,US-2016-108637,2016-03-13,2016-03-18,Standard Class,AB-10060,Adam Bellavance,Home Office,United States,Waynesboro,Virginia,22980,South,OFF-AP-10004540,Office Supplies,Appliances,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",160.32,2,0.0,44.8896,2016,3,1,10,Sunday,5,28.0,160.32,115.43,7755.62,3,1,125.06,80.16,0,0
2366,US-2016-108637,2016-03-13,2016-03-18,Standard Class,AB-10060,Adam Bellavance,Home Office,United States,Waynesboro,Virginia,22980,South,OFF-BI-10004965,Office Supplies,Binders,Ibico Covers for Plastic or Wire Binding Elements,46.0,4,0.0,20.7,2016,3,1,10,Sunday,5,45.0,46.0,25.3,7755.62,4,1,125.06,11.5,0,0
1176,CA-2016-161207,2016-08-29,2016-09-03,Standard Class,AB-10060,Adam Bellavance,Home Office,United States,Concord,New Hampshire,3301,East,OFF-SU-10000381,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles,27.93,3,0.0,8.0997,2016,8,3,35,Monday,5,29.0,27.93,19.83,7755.62,5,1,-20.75,9.31,0,0
350,CA-2016-129714,2016-09-01,2016-09-03,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East,TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,6.79,1,0.0,2.3086,2016,9,3,35,Thursday,2,34.0,6.79,4.48,7755.62,6,1,135.93,6.79,0,0
351,CA-2016-129714,2016-09-01,2016-09-03,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East,OFF-PA-10001970,Office Supplies,Paper,Xerox 1881,24.56,2,0.0,11.5432,2016,9,3,35,Thursday,2,47.0,24.56,13.02,7755.62,7,1,135.93,12.28,0,0
352,CA-2016-129714,2016-09-01,2016-09-03,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East,OFF-BI-10002160,Office Supplies,Binders,Acco Hanging Data Binders,3.048,1,0.2,1.0668,2016,9,3,35,Thursday,2,35.0,2.44,1.98,7755.62,8,1,135.93,3.05,0,0
353,CA-2016-129714,2016-09-01,2016-09-03,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East,OFF-PA-10001970,Office Supplies,Paper,Xerox 1881,49.12,4,0.0,23.0864,2016,9,3,35,Thursday,2,47.0,49.12,26.03,7755.62,9,1,135.93,12.28,0,0
354,CA-2016-129714,2016-09-01,2016-09-03,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,4355.168,4,0.2,1415.4296,2016,9,3,35,Thursday,2,32.5,3484.13,2939.74,7755.62,10,1,135.93,1088.79,1,0
5001,CA-2017-159688,2017-05-07,2017-05-12,Standard Class,AB-10060,Adam Bellavance,Home Office,United States,Los Angeles,California,90004,West,TEC-AC-10000736,Technology,Accessories,Logitech G600 MMO Gaming Mouse,79.99,1,0.0,28.7964,2017,5,2,18,Sunday,5,36.0,79.99,51.19,7755.62,11,1,21.19,79.99,0,0
3034,CA-2017-134173,2017-09-16,2017-09-21,Standard Class,AB-10060,Adam Bellavance,Home Office,United States,Philadelphia,Pennsylvania,19143,East,OFF-PA-10004355,Office Supplies,Paper,Xerox 231,20.736,4,0.2,7.2576,2017,9,3,37,Saturday,5,35.0,16.59,13.48,7755.62,12,1,39.2,5.18,0,0
9498,CA-2017-118213,2017-11-05,2017-11-07,First Class,AB-10060,Adam Bellavance,Home Office,United States,Greenwood,Indiana,46142,Central,OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",4.41,1,0.0,2.0286,2017,11,4,44,Sunday,2,46.0,4.41,2.38,7755.62,13,1,52.29,4.41,0,0
9499,CA-2017-118213,2017-11-05,2017-11-07,First Class,AB-10060,Adam Bellavance,Home Office,United States,Greenwood,Indiana,46142,Central,OFF-PA-10000565,Office Supplies,Paper,Easy-staple paper,167.94,3,0.0,82.2906,2017,11,4,44,Sunday,2,49.0,167.94,85.65,7755.62,14,1,52.29,55.98,0,0
9500,CA-2017-118213,2017-11-05,2017-11-07,First Class,AB-10060,Adam Bellavance,Home Office,United States,Greenwood,Indiana,46142,Central,OFF-PA-10003673,Office Supplies,Paper,Strathmore Photo Mount Cards,67.8,10,0.0,31.188,2017,11,4,44,Sunday,2,46.0,67.8,36.61,7755.62,15,1,52.29,6.78,0,0
8169,CA-2017-107174,2017-11-06,2017-11-13,Standard Class,AB-10060,Adam Bellavance,Home Office,United States,Seattle,Washington,98105,West,FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables,2036.86,7,0.0,366.6348,2017,11,4,45,Monday,7,18.0,2036.86,1670.23,7755.62,16,1,52.29,290.98,1,0
